GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",16739,125,118,470,421,530,523,517,480,381,448,617,665,398,355,262,224,181,146,84,73,35,30,9,9,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,128,149,564,680,672,685,673,636,475,541,866,910,552,563,368,380,183,203,145,143,35,25,12,10,3,5,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",7530,68,61,247,198,249,241,200,212,192,148,437,287,308,180,203,111,80,47,56,33,13,9,3,2,0,0,0,0,0,0,2,2,8,7,15,12,12,8,3,7,13,13,7,10,2,5,2,3,1,4,2,2,0,0,0,0,0,0,0,0,50,59,194,195,206,200,198,188,219,168,662,277,374,153,182,95,106,74,50,23,17,8,5,5,2,2,1,1,0,0,2,1,6,5,2,7,7,7,8,4,17,7,2,1,1,3,1,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",30812,261,232,922,941,1115,1066,1088,1050,831,886,1315,1232,803,753,587,470,332,276,163,155,56,53,15,17,0,5,1,0,1,3,1,0,3,2,4,3,4,0,3,0,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,278,298,1131,1221,1176,1268,1169,1089,930,907,1450,1471,877,941,535,510,245,245,138,136,44,42,15,20,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",11894,145,146,534,536,637,614,591,564,458,503,668,699,392,401,257,239,197,133,114,91,41,36,7,16,2,4,2,0,0,0,1,0,2,1,3,7,2,3,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,58,289,304,306,302,303,308,221,227,334,304,174,215,119,109,56,69,36,34,8,9,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100090","1860","Alabama","010","Blount","0090","Blount",10865,186,186,732,721,865,810,771,712,615,578,809,850,497,547,315,330,195,164,123,96,45,28,9,6,3,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,53,51,54,72,52,58,37,47,47,58,15,35,19,22,6,12,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100130","1860","Alabama","010","Butler","0130","Butler",18122,204,174,825,690,917,825,829,737,630,648,982,995,638,598,394,325,227,213,157,114,62,47,14,11,2,2,0,0,0,0,1,0,4,4,4,3,3,1,3,3,5,3,2,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,100,94,467,473,495,506,479,493,431,450,697,647,342,335,219,221,105,96,49,63,14,21,7,5,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",21539,297,284,1174,1071,1323,1334,1263,1211,968,1100,1455,1477,889,883,570,566,372,347,198,178,84,71,28,20,2,3,0,0,1,0,0,0,2,3,2,4,2,2,2,0,1,3,0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,69,86,320,324,380,362,344,321,248,289,315,368,198,239,128,134,55,44,34,46,15,14,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",23214,159,140,721,695,865,827,843,783,697,715,981,957,558,555,387,389,302,255,154,153,76,65,17,13,3,3,0,1,1,0,5,0,6,7,4,3,2,1,0,4,3,6,0,1,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,165,176,873,857,951,946,920,815,708,753,1055,1077,539,606,333,368,200,198,105,98,38,34,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",18360,267,260,1033,997,1170,1206,1169,1079,845,885,1214,1342,748,795,550,534,377,292,193,168,65,69,13,7,2,5,1,1,18,16,1,1,2,1,4,1,3,4,3,3,0,3,1,1,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,1,45,66,243,198,226,250,234,217,178,183,268,269,132,139,78,102,42,50,21,30,7,11,3,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",13877,97,98,461,397,539,549,499,467,407,374,597,589,377,343,264,206,184,110,78,71,34,20,2,3,0,1,0,0,0,0,1,0,1,1,2,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,90,113,504,546,539,506,510,497,415,403,680,620,366,428,253,254,88,95,86,57,18,15,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",15049,160,128,564,481,602,570,503,474,415,417,702,675,454,363,278,244,169,152,99,71,38,28,3,8,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,107,131,487,562,556,554,473,525,455,428,685,645,340,437,247,280,133,147,105,64,19,26,4,14,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",9623,158,139,569,543,734,624,657,576,493,491,636,651,388,383,310,264,182,132,101,80,32,31,14,9,1,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,91,104,116,98,103,108,83,105,112,117,65,86,35,53,19,27,13,16,6,6,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",11311,103,89,439,446,507,484,435,428,369,377,634,560,306,279,237,211,155,123,83,66,32,23,15,14,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,2,0,0,0,0,75,83,347,345,354,338,367,328,293,308,476,412,246,284,165,163,70,86,49,47,17,19,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",19273,217,215,964,863,1112,1089,1007,1034,835,850,1344,1123,719,640,498,440,327,267,211,144,66,57,10,8,0,3,0,1,0,0,0,0,1,0,3,1,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,360,386,411,385,415,399,258,317,453,469,237,332,166,184,82,78,55,41,12,7,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100390","1860","Alabama","010","Covington","0390","Covington",6469,81,110,424,408,498,457,422,375,303,315,415,458,291,279,201,173,115,96,78,64,27,20,7,11,0,2,1,0,0,0,0,0,0,0,1,0,0,3,1,2,3,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,8,18,59,61,69,67,52,58,51,54,67,63,38,44,24,31,12,14,12,10,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100450","1860","Alabama","010","Dale","0450","Dale",12197,170,171,766,729,869,836,801,768,576,644,815,830,502,497,374,324,218,177,121,102,36,29,12,5,3,4,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,137,140,146,170,157,126,93,116,126,148,80,111,53,47,20,26,14,12,5,2,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",33625,111,114,432,460,491,501,470,489,417,463,775,720,590,446,382,270,227,158,83,94,33,36,7,6,1,0,0,0,6,3,0,3,6,8,6,7,1,6,2,6,4,8,2,8,2,0,2,3,1,1,0,0,0,2,1,0,1,0,0,0,360,375,1553,1618,1777,1673,1744,1652,1384,1522,2419,2397,1599,1596,1038,962,566,591,325,322,101,98,25,23,8,9,7,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",10705,176,189,696,648,776,790,740,736,582,619,732,851,460,495,316,332,222,197,120,92,34,28,10,7,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,73,67,85,61,61,58,51,46,76,81,29,36,17,17,8,20,10,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",12850,173,185,876,795,863,860,850,719,644,649,923,970,583,544,368,330,247,186,125,114,62,47,18,9,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,151,155,142,141,120,129,93,104,122,154,84,84,37,48,18,24,19,19,6,5,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",18627,156,134,697,642,807,725,779,663,585,641,816,844,580,517,378,333,250,199,146,120,51,38,13,4,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,1,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,119,105,622,674,644,648,594,536,436,530,730,776,441,514,273,301,138,145,107,88,20,28,6,13,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100630","1860","Alabama","010","Greene","0630","Greene",30859,109,119,416,379,483,448,493,444,452,415,744,630,471,378,346,259,222,174,117,76,28,32,6,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,208,279,1628,1633,1559,1658,1591,1604,1414,1434,2313,2039,1470,1382,935,824,432,409,315,240,73,79,30,21,9,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100670","1860","Alabama","010","Henry","0670","Henry",14918,222,208,748,664,817,825,730,737,609,640,964,902,525,492,349,345,233,172,104,81,29,40,12,9,0,3,0,1,1,2,0,1,3,4,2,1,0,1,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,86,85,316,293,327,331,326,284,242,279,399,422,231,231,152,160,70,72,49,41,13,13,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",18283,257,259,1027,958,1178,1085,1065,989,855,865,1369,1330,783,775,496,508,321,265,176,130,40,46,11,18,3,0,0,1,1,0,1,2,4,4,3,7,3,8,3,3,5,5,4,6,2,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,68,64,244,221,282,267,296,224,196,211,294,299,157,180,83,98,53,67,40,31,7,13,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",11746,160,146,649,595,753,753,688,638,509,561,722,755,432,460,314,288,184,160,106,103,40,32,13,11,1,2,0,1,2,0,0,2,0,3,3,2,0,2,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35,54,214,194,217,220,213,183,145,165,190,232,125,151,87,75,37,38,22,35,9,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",17420,170,153,648,675,790,771,806,737,613,669,857,929,579,599,400,375,244,231,136,113,48,61,20,11,0,2,0,0,1,1,2,1,2,2,2,0,3,2,0,5,5,6,1,2,1,2,1,0,1,4,1,1,0,0,0,0,0,0,0,0,135,113,473,468,473,496,480,435,356,369,601,623,369,389,223,220,131,133,99,92,23,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",13975,113,115,471,470,528,542,510,439,408,433,597,669,407,378,266,224,180,154,107,70,31,43,9,9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83,91,483,509,495,523,499,464,342,365,601,650,331,367,234,257,142,137,67,73,22,31,10,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",15306,115,107,476,428,486,524,521,481,426,454,618,656,354,405,287,253,176,163,109,87,35,32,10,9,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,145,138,582,596,600,660,535,528,410,454,708,699,390,460,258,298,203,136,95,101,37,31,7,8,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",27716,150,162,524,535,583,615,567,506,444,496,817,744,506,451,367,256,197,168,94,81,38,37,9,10,1,0,0,0,2,2,0,1,0,1,1,0,1,0,0,0,1,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,300,300,1213,1342,1424,1397,1329,1212,1108,1148,1732,1765,1130,1148,739,744,361,341,219,208,62,53,23,23,7,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100870","1860","Alabama","010","Macon","0870","Macon",26802,88,92,532,526,638,628,595,656,468,605,807,734,568,448,362,260,223,149,100,77,33,17,9,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,116,1193,1343,1414,1470,1097,1120,1032,1119,1774,1712,1222,1103,627,654,317,317,158,135,37,50,13,16,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100890","1860","Alabama","010","Madison","0890","Madison",26451,188,197,697,638,844,744,761,819,659,690,1117,1059,677,592,456,455,294,289,184,142,75,70,16,18,0,4,0,0,0,0,1,2,13,8,22,10,17,11,6,18,14,13,6,4,3,10,7,5,13,4,2,2,0,0,1,0,0,0,0,0,244,270,968,1015,967,994,1015,971,751,778,1301,1334,800,779,570,544,307,303,221,238,73,72,13,28,3,7,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",31171,85,111,422,396,468,495,465,453,394,408,632,562,424,345,310,255,184,110,97,66,34,26,11,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,357,1743,1744,1754,1719,1624,1512,1305,1470,2216,2150,1483,1406,991,946,436,452,340,240,58,69,22,18,12,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100930","1860","Alabama","010","Marion","0930","Marion",11182,206,169,725,703,776,826,708,700,590,628,758,849,469,483,320,284,206,185,111,95,45,33,5,9,1,5,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,105,94,128,102,97,81,65,58,91,139,58,65,32,39,18,18,12,14,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",11472,178,170,672,652,728,720,690,670,563,531,806,853,510,502,350,320,205,191,108,77,34,36,16,6,2,3,0,0,3,0,1,1,5,1,3,8,5,5,0,2,1,6,4,2,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,38,39,115,129,156,144,139,119,104,119,150,148,88,97,51,63,30,23,15,30,5,8,3,5,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
